X,CH1,CH2,
Second,Volt,Volt,
2.2399997e-02,1.60000e-01,6.80000e-02,
2.2799999e-02,1.64000e-01,7.20000e-02,
2.3199998e-02,1.84000e-01,7.00000e-02,
2.3599997e-02,1.84000e-01,8.80000e-02,
2.3999998e-02,2.00000e-01,8.20000e-02,
2.4399998e-02,2.12000e-01,7.80000e-02,
2.4799997e-02,2.32000e-01,7.80000e-02,
2.5199998e-02,2.24000e-01,8.80000e-02,
2.5599997e-02,2.52000e-01,9.20000e-02,
2.5999997e-02,2.76000e-01,7.80000e-02,
2.6399998e-02,2.80000e-01,8.40000e-02,
2.6799997e-02,2.84000e-01,8.80000e-02,
2.7199997e-02,2.96000e-01,9.40000e-02,
2.7599998e-02,3.24000e-01,9.00000e-02,
2.7999997e-02,3.20000e-01,9.20000e-02,
2.8399996e-02,3.48000e-01,8.40000e-02,
2.8799998e-02,3.48000e-01,9.40000e-02,
2.9199997e-02,3.52000e-01,9.40000e-02,
2.9599996e-02,3.72000e-01,8.80000e-02,
2.9999997e-02,3.64000e-01,9.40000e-02,
3.0399997e-02,3.76000e-01,8.40000e-02,
3.0799996e-02,3.80000e-01,8.80000e-02,
3.1199997e-02,3.56000e-01,1.02000e-01,
3.1599998e-02,3.48000e-01,1.00000e-01,
3.1999998e-02,3.48000e-01,9.80000e-02,
3.2399997e-02,3.48000e-01,9.00000e-02,
3.2799996e-02,3.16000e-01,9.80000e-02,
3.3199996e-02,3.04000e-01,9.40000e-02,
3.3599995e-02,2.96000e-01,8.60000e-02,
3.3999998e-02,2.92000e-01,7.80000e-02,
3.4399997e-02,2.48000e-01,9.20000e-02,
3.4799997e-02,2.44000e-01,8.20000e-02,
3.5199996e-02,2.32000e-01,7.60000e-02,
3.5599995e-02,2.24000e-01,7.60000e-02,
3.5999995e-02,2.04000e-01,7.40000e-02,
3.6399998e-02,1.64000e-01,9.80000e-02,
3.6799997e-02,1.80000e-01,7.00000e-02,
3.7199996e-02,1.48000e-01,8.20000e-02,
3.7599996e-02,1.16000e-01,9.80000e-02,
3.7999995e-02,1.16000e-01,8.20000e-02,
3.8399998e-02,1.16000e-01,7.80000e-02,
3.8799997e-02,1.16000e-01,7.00000e-02,
3.9199997e-02,7.60000e-02,8.40000e-02,
3.9599996e-02,9.20000e-02,6.00000e-02,
3.9999995e-02,6.80000e-02,7.00000e-02,
4.0399995e-02,6.00000e-02,7.00000e-02,
4.0799998e-02,5.20000e-02,6.20000e-02,
4.1199997e-02,2.80000e-02,7.00000e-02,
4.1599996e-02,3.60000e-02,5.80000e-02,
4.1999996e-02,2.40000e-02,6.40000e-02,
4.2399995e-02,4.00000e-03,6.40000e-02,
4.2799994e-02,1.60000e-02,5.60000e-02,
4.3199997e-02,1.20000e-02,4.40000e-02,
4.3599997e-02,-8.00000e-03,5.60000e-02,
4.3999996e-02,-1.60000e-02,5.40000e-02,
4.4399995e-02,-2.00000e-02,5.00000e-02,
4.4799995e-02,-8.00000e-03,4.00000e-02,
4.5199994e-02,-1.60000e-02,4.40000e-02,
4.5599997e-02,-3.20000e-02,4.20000e-02,
4.5999996e-02,-2.00000e-02,2.40000e-02,
4.6399996e-02,-1.60000e-02,2.40000e-02,
4.6799995e-02,-1.60000e-02,2.00000e-02,
4.7199994e-02,-4.00000e-02,3.00000e-02,
4.7599994e-02,-4.00000e-02,3.20000e-02,
4.7999997e-02,-8.00000e-03,6.00000e-03,
4.8399996e-02,-3.20000e-02,2.00000e-02,
4.8799995e-02,-2.40000e-02,0.00000e+00,
4.9199995e-02,-4.00000e-02,2.00000e-02,
